"Reads n=10","Writes n=10","Reads n=20","Writes n=20","Reads n=30","Writes n=30","Reads n=40","Writes n=40","Reads n=50","Writes n=50","Reads n=60","Writes n=60","Reads n=70","Writes n=70","Reads n=80","Writes n=80","Reads n=90","Writes n=90","Reads n=100","Writes n=100"
"7","8","7","8","5","6","30","31","43","44","52","53","4","5","20","21","74","75","96","97"
"1","2","15","16","6","7","38","39","48","49","31","32","14","15","2","3","6","7","54","55"
"7","8","15","16","11","12","31","32","41","42","56","57","34","35","7","8","31","32","73","74"
"0","1","11","12","29","30","31","32","10","11","56","57","63","64","11","12","55","56","68","69"
"3","4","7","8","16","17","23","24","20","21","59","60","5","6","78","79","68","69","8","9"
"4","5","16","17","21","22","23","24","10","11","49","50","30","31","54","55","22","23","91","92"
"5","6","14","15","1","2","20","21","21","22","9","10","38","39","30","31","83","84","29","30"
"8","9","10","11","18","19","36","37","0","1","13","14","3","4","7","8","18","19","1","2"
"5","6","5","6","23","24","10","11","41","42","44","45","14","15","59","60","75","76","98","99"
"7","8","6","7","26","27","13","14","20","21","21","22","26","27","49","50","30","31","10","11"
"9","10","1","2","20","21","8","9","26","27","8","9","59","60","31","32","38","39","6","7"
"3","4","16","17","21","22","11","12","1","2","50","51","31","32","71","72","63","64","80","81"
"7","8","2","3","15","16","15","16","34","35","49","50","44","45","4","5","25","26","63","64"
"6","7","8","9","27","28","33","34","22","23","41","42","22","23","44","45","89","90","41","42"
"8","9","9","10","14","15","14","15","16","17","0","1","23","24","56","57","42","43","60","61"
"8","9","14","15","3","4","25","26","11","12","56","57","42","43","40","41","62","63","20","21"
"5","6","6","7","21","22","7","8","25","26","35","36","32","33","19","20","51","52","60","61"
"8","9","4","5","18","19","31","32","15","16","55","56","38","39","1","2","84","85","19","20"
"5","6","6","7","24","25","28","29","12","13","15","16","61","62","61","62","62","63","43","44"
"6","7","18","19","27","28","12","13","24","25","50","51","66","67","18","19","72","73","91","92"
"0","1","1","2","23","24","26","27","33","34","50","51","36","37","56","57","43","44","68","69"
"1","2","1","2","29","30","38","39","35","36","44","45","2","3","13","14","52","53","59","60"
"8","9","18","19","17","18","36","37","22","23","55","56","45","46","51","52","5","6","49","50"
"3","4","0","1","20","21","30","31","47","48","58","59","12","13","38","39","34","35","79","80"
"0","1","7","8","11","12","5","6","5","6","1","2","48","49","7","8","47","48","47","48"
"6","7","4","5","22","23","3","4","43","44","10","11","41","42","70","71","31","32","19","20"
"3","4","5","6","8","9","0","1","42","43","52","53","64","65","55","56","5","6","42","43"
"3","4","19","20","10","11","22","23","31","32","8","9","40","41","7","8","57","58","66","67"
"7","8","2","3","29","30","18","19","33","34","28","29","18","19","22","23","4","5","44","45"
"5","6","2","3","9","10","3","4","0","1","13","14","14","15","24","25","72","73","82","83"
