"Reads n=10","Writes n=10","Reads n=20","Writes n=20","Reads n=30","Writes n=30","Reads n=40","Writes n=40","Reads n=50","Writes n=50","Reads n=60","Writes n=60","Reads n=70","Writes n=70","Reads n=80","Writes n=80","Reads n=90","Writes n=90","Reads n=100","Writes n=100"
"5","0","15","0","27","0","12","0","9","0","10","0","68","0","62","0","18","0","6","0"
"11","0","7","0","26","0","4","0","4","0","31","0","58","0","80","0","86","0","48","0"
"5","0","7","0","21","0","11","0","11","0","6","0","38","0","75","0","61","0","29","0"
"12","0","11","0","2","1","11","0","42","0","6","0","9","0","71","0","37","0","34","0"
"9","0","15","0","16","0","19","0","32","0","2","1","67","0","4","0","24","0","94","0"
"8","0","6","0","11","0","19","0","42","0","13","0","42","0","28","0","70","0","11","0"
"7","0","8","0","31","0","22","0","31","0","53","0","34","0","52","0","9","0","73","0"
"4","0","12","0","14","0","6","0","52","0","49","0","69","0","75","0","74","0","101","0"
"7","0","17","0","9","0","32","0","11","0","18","0","58","0","23","0","17","0","4","0"
"5","0","16","0","6","0","29","0","32","0","41","0","46","0","33","0","62","0","92","0"
"2","1","21","0","12","0","34","0","26","0","54","0","13","0","51","0","54","0","96","0"
"9","0","6","0","11","0","31","0","51","0","12","0","41","0","11","0","29","0","22","0"
"5","0","20","0","17","0","27","0","18","0","13","0","28","0","78","0","67","0","39","0"
"6","0","14","0","5","0","9","0","30","0","21","0","50","0","38","0","2","1","61","0"
"4","0","13","0","18","0","28","0","36","0","62","0","49","0","26","0","50","0","42","0"
"4","0","8","0","29","0","17","0","41","0","6","0","30","0","42","0","30","0","82","0"
"7","0","16","0","11","0","35","0","27","0","27","0","40","0","63","0","41","0","42","0"
"4","0","18","0","14","0","11","0","37","0","7","0","34","0","81","0","8","0","83","0"
"7","0","16","0","8","0","14","0","40","0","47","0","11","0","21","0","30","0","59","0"
"6","0","4","0","5","0","30","0","28","0","12","0","6","0","64","0","20","0","11","0"
"12","0","21","0","9","0","16","0","19","0","12","0","36","0","26","0","49","0","34","0"
"11","0","21","0","2","1","4","0","17","0","18","0","70","0","69","0","40","0","43","0"
"4","0","4","0","15","0","6","0","30","0","7","0","27","0","31","0","87","0","53","0"
"9","0","22","0","12","0","12","0","5","0","4","0","60","0","44","0","58","0","23","0"
"12","0","15","0","21","0","37","0","47","0","61","0","24","0","75","0","45","0","55","0"
"6","0","18","0","10","0","39","0","9","0","52","0","31","0","12","0","61","0","83","0"
"9","0","17","0","24","0","42","0","10","0","10","0","8","0","27","0","87","0","60","0"
"9","0","2","1","22","0","20","0","21","0","54","0","32","0","75","0","35","0","36","0"
"5","0","20","0","2","1","24","0","19","0","34","0","54","0","60","0","88","0","58","0"
"7","0","20","0","23","0","39","0","52","0","49","0","58","0","58","0","20","0","20","0"
