"Reads","Writes"
"9","20"
"3","14"
"9","20"
"2","13"
"5","16"
"6","17"
"7","18"
"10","21"
"7","18"
"9","20"
"11","22"
"5","16"
"9","20"
"8","19"
"10","21"
"10","21"
"7","18"
"10","21"
"7","18"
"8","19"
"2","13"
"3","14"
"10","21"
"5","16"
"2","13"
"8","19"
"5","16"
"5","16"
"9","20"
"7","18"
"9","30"
"17","38"
"17","38"
"13","34"
"9","30"
"18","39"
"16","37"
"12","33"
"7","28"
"8","29"
"3","24"
"18","39"
"4","25"
"10","31"
"11","32"
"16","37"
"8","29"
"6","27"
"8","29"
"20","41"
"3","24"
"3","24"
"20","41"
"2","23"
"9","30"
"6","27"
"7","28"
"21","42"
"4","25"
"4","25"
"7","38"
"8","39"
"13","44"
"31","62"
"18","49"
"23","54"
"3","34"
"20","51"
"25","56"
"28","59"
"22","53"
"23","54"
"17","48"
"29","60"
"16","47"
"5","36"
"23","54"
"20","51"
"26","57"
"29","60"
"25","56"
"31","62"
"19","50"
"22","53"
"13","44"
"24","55"
"10","41"
"12","43"
"31","62"
"11","42"
"32","73"
"40","81"
"33","74"
"33","74"
"25","66"
"25","66"
"22","63"
"38","79"
"12","53"
"15","56"
"10","51"
"13","54"
"17","58"
"35","76"
"16","57"
"27","68"
"9","50"
"33","74"
"30","71"
"14","55"
"28","69"
"40","81"
"38","79"
"32","73"
"7","48"
"5","46"
"2","43"
"24","65"
"20","61"
"5","46"
"45","96"
"50","101"
"43","94"
"12","63"
"22","73"
"12","63"
"23","74"
"2","53"
"43","94"
"22","73"
"28","79"
"3","54"
"36","87"
"24","75"
"18","69"
"13","64"
"27","78"
"17","68"
"14","65"
"26","77"
"35","86"
"37","88"
"24","75"
"49","100"
"7","58"
"45","96"
"44","95"
"33","84"
"35","86"
"2","53"
"54","115"
"33","94"
"58","119"
"58","119"
"61","122"
"51","112"
"11","72"
"15","76"
"46","107"
"23","84"
"10","71"
"52","113"
"51","112"
"43","104"
"2","63"
"58","119"
"37","98"
"57","118"
"17","78"
"52","113"
"52","113"
"46","107"
"57","118"
"60","121"
"3","64"
"12","73"
"54","115"
"10","71"
"30","91"
"15","76"
"6","77"
"16","87"
"36","107"
"65","136"
"7","78"
"32","103"
"40","111"
"5","76"
"16","87"
"28","99"
"61","132"
"33","104"
"46","117"
"24","95"
"25","96"
"44","115"
"34","105"
"40","111"
"63","134"
"68","139"
"38","109"
"4","75"
"47","118"
"14","85"
"50","121"
"43","114"
"66","137"
"42","113"
"20","91"
"16","87"
"22","103"
"4","85"
"9","90"
"13","94"
"80","161"
"56","137"
"32","113"
"9","90"
"61","142"
"51","132"
"33","114"
"73","154"
"6","87"
"46","127"
"58","139"
"42","123"
"21","102"
"3","84"
"63","144"
"20","101"
"58","139"
"15","96"
"53","134"
"40","121"
"9","90"
"72","153"
"57","138"
"9","90"
"24","105"
"26","107"
"76","167"
"8","99"
"33","124"
"57","148"
"70","161"
"24","115"
"85","176"
"20","111"
"77","168"
"32","123"
"40","131"
"65","156"
"27","118"
"91","182"
"44","135"
"64","155"
"53","144"
"86","177"
"64","155"
"74","165"
"45","136"
"54","145"
"7","98"
"36","127"
"49","140"
"33","124"
"7","98"
"59","150"
"6","97"
"74","165"
"98","199"
"56","157"
"75","176"
"70","171"
"10","111"
"93","194"
"31","132"
"3","104"
"100","201"
"12","113"
"8","109"
"82","183"
"65","166"
"43","144"
"62","163"
"22","123"
"62","163"
"21","122"
"45","146"
"93","194"
"70","171"
"61","162"
"51","152"
"81","182"
"49","150"
"21","122"
"44","145"
"68","169"
"46","147"
"84","185"
