"Reads","Writes"
"6","22"
"12","22"
"6","22"
"13","22"
"10","22"
"9","22"
"8","22"
"5","22"
"8","22"
"6","22"
"2","22"
"10","22"
"6","22"
"7","22"
"5","22"
"5","22"
"8","22"
"5","22"
"8","22"
"7","22"
"13","22"
"12","22"
"5","22"
"10","22"
"13","22"
"7","22"
"10","22"
"10","22"
"6","22"
"8","22"
"16","42"
"8","42"
"8","42"
"12","42"
"16","42"
"7","42"
"9","42"
"13","42"
"18","42"
"17","42"
"22","42"
"7","42"
"21","42"
"15","42"
"14","42"
"9","42"
"17","42"
"19","42"
"17","42"
"5","42"
"22","42"
"22","42"
"5","42"
"23","42"
"16","42"
"19","42"
"18","42"
"2","42"
"21","42"
"21","42"
"28","62"
"27","62"
"22","62"
"2","62"
"17","62"
"12","62"
"32","62"
"15","62"
"10","62"
"7","62"
"13","62"
"12","62"
"18","62"
"6","62"
"19","62"
"30","62"
"12","62"
"15","62"
"9","62"
"6","62"
"10","62"
"2","62"
"16","62"
"13","62"
"22","62"
"11","62"
"25","62"
"23","62"
"2","62"
"24","62"
"13","82"
"5","82"
"12","82"
"12","82"
"20","82"
"20","82"
"23","82"
"7","82"
"33","82"
"30","82"
"35","82"
"32","82"
"28","82"
"10","82"
"29","82"
"18","82"
"36","82"
"12","82"
"15","82"
"31","82"
"17","82"
"5","82"
"7","82"
"13","82"
"38","82"
"40","82"
"43","82"
"21","82"
"25","82"
"40","82"
"10","102"
"5","102"
"12","102"
"43","102"
"33","102"
"43","102"
"32","102"
"53","102"
"12","102"
"33","102"
"27","102"
"52","102"
"19","102"
"31","102"
"37","102"
"42","102"
"28","102"
"38","102"
"41","102"
"29","102"
"20","102"
"18","102"
"31","102"
"6","102"
"48","102"
"10","102"
"11","102"
"22","102"
"20","102"
"53","102"
"11","122"
"32","122"
"7","122"
"7","122"
"2","122"
"14","122"
"54","122"
"50","122"
"19","122"
"42","122"
"55","122"
"13","122"
"14","122"
"22","122"
"63","122"
"7","122"
"28","122"
"8","122"
"48","122"
"13","122"
"13","122"
"19","122"
"8","122"
"5","122"
"62","122"
"53","122"
"11","122"
"55","122"
"35","122"
"50","122"
"69","142"
"59","142"
"39","142"
"10","142"
"68","142"
"43","142"
"35","142"
"70","142"
"59","142"
"47","142"
"14","142"
"42","142"
"29","142"
"51","142"
"50","142"
"31","142"
"41","142"
"35","142"
"12","142"
"7","142"
"37","142"
"71","142"
"28","142"
"61","142"
"25","142"
"32","142"
"9","142"
"33","142"
"55","142"
"59","142"
"63","162"
"81","162"
"76","162"
"72","162"
"5","162"
"29","162"
"53","162"
"76","162"
"24","162"
"34","162"
"52","162"
"12","162"
"79","162"
"39","162"
"27","162"
"43","162"
"64","162"
"82","162"
"22","162"
"65","162"
"27","162"
"70","162"
"32","162"
"45","162"
"76","162"
"13","162"
"28","162"
"76","162"
"61","162"
"59","162"
"19","182"
"87","182"
"62","182"
"38","182"
"25","182"
"71","182"
"10","182"
"75","182"
"18","182"
"63","182"
"55","182"
"30","182"
"68","182"
"2","182"
"51","182"
"31","182"
"42","182"
"9","182"
"31","182"
"21","182"
"50","182"
"41","182"
"88","182"
"59","182"
"46","182"
"62","182"
"88","182"
"36","182"
"89","182"
"21","182"
"7","202"
"49","202"
"30","202"
"35","202"
"95","202"
"12","202"
"74","202"
"102","202"
"5","202"
"93","202"
"97","202"
"23","202"
"40","202"
"62","202"
"43","202"
"83","202"
"43","202"
"84","202"
"60","202"
"12","202"
"35","202"
"44","202"
"54","202"
"24","202"
"56","202"
"84","202"
"61","202"
"37","202"
"59","202"
"21","202"
