"Reads n=10","Writes n=10","Reads n=20","Writes n=20","Reads n=30","Writes n=30","Reads n=40","Writes n=40","Reads n=50","Writes n=50","Reads n=60","Writes n=60","Reads n=70","Writes n=70","Reads n=80","Writes n=80","Reads n=90","Writes n=90","Reads n=100","Writes n=100"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
"0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2","0","2"
