"Reads n=10","Writes n=10","Reads n=20","Writes n=20","Reads n=30","Writes n=30","Reads n=40","Writes n=40","Reads n=50","Writes n=50","Reads n=60","Writes n=60","Reads n=70","Writes n=70","Reads n=80","Writes n=80","Reads n=90","Writes n=90","Reads n=100","Writes n=100"
"4","1","14","1","26","1","11","1","8","1","9","1","67","1","61","1","17","1","5","1"
"10","1","6","1","25","1","3","1","3","1","30","1","57","1","79","1","85","1","47","1"
"4","1","6","1","20","1","10","1","10","1","5","1","37","1","74","1","60","1","28","1"
"11","1","10","1","2","1","10","1","41","1","5","1","8","1","70","1","36","1","33","1"
"8","1","14","1","15","1","18","1","31","1","2","1","66","1","3","1","23","1","93","1"
"7","1","5","1","10","1","18","1","41","1","12","1","41","1","27","1","69","1","10","1"
"6","1","7","1","30","1","21","1","30","1","52","1","33","1","51","1","8","1","72","1"
"3","1","11","1","13","1","5","1","51","1","48","1","68","1","74","1","73","1","100","1"
"6","1","16","1","8","1","31","1","10","1","17","1","57","1","22","1","16","1","3","1"
"4","1","15","1","5","1","28","1","31","1","40","1","45","1","32","1","61","1","91","1"
"2","1","20","1","11","1","33","1","25","1","53","1","12","1","50","1","53","1","95","1"
"8","1","5","1","10","1","30","1","50","1","11","1","40","1","10","1","28","1","21","1"
"4","1","19","1","16","1","26","1","17","1","12","1","27","1","77","1","66","1","38","1"
"5","1","13","1","4","1","8","1","29","1","20","1","49","1","37","1","2","1","60","1"
"3","1","12","1","17","1","27","1","35","1","61","1","48","1","25","1","49","1","41","1"
"3","1","7","1","28","1","16","1","40","1","5","1","29","1","41","1","29","1","81","1"
"6","1","15","1","10","1","34","1","26","1","26","1","39","1","62","1","40","1","41","1"
"3","1","17","1","13","1","10","1","36","1","6","1","33","1","80","1","7","1","82","1"
"6","1","15","1","7","1","13","1","39","1","46","1","10","1","20","1","29","1","58","1"
"5","1","3","1","4","1","29","1","27","1","11","1","5","1","63","1","19","1","10","1"
"11","1","20","1","8","1","15","1","18","1","11","1","35","1","25","1","48","1","33","1"
"10","1","20","1","2","1","3","1","16","1","17","1","69","1","68","1","39","1","42","1"
"3","1","3","1","14","1","5","1","29","1","6","1","26","1","30","1","86","1","52","1"
"8","1","21","1","11","1","11","1","4","1","3","1","59","1","43","1","57","1","22","1"
"11","1","14","1","20","1","36","1","46","1","60","1","23","1","74","1","44","1","54","1"
"5","1","17","1","9","1","38","1","8","1","51","1","30","1","11","1","60","1","82","1"
"8","1","16","1","23","1","41","1","9","1","9","1","7","1","26","1","86","1","59","1"
"8","1","2","1","21","1","19","1","20","1","53","1","31","1","74","1","34","1","35","1"
"4","1","19","1","2","1","23","1","18","1","33","1","53","1","59","1","87","1","57","1"
"6","1","19","1","22","1","38","1","51","1","48","1","57","1","57","1","19","1","19","1"
