"Reads","Writes"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","13"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","23"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","33"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","43"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","53"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","63"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","73"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","83"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","93"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
"3","103"
