"Reads n=10","Writes n=10","Reads n=20","Writes n=20","Reads n=30","Writes n=30","Reads n=40","Writes n=40","Reads n=50","Writes n=50","Reads n=60","Writes n=60","Reads n=70","Writes n=70","Reads n=80","Writes n=80","Reads n=90","Writes n=90","Reads n=100","Writes n=100"
"9","2","21","2","28","2","41","2","38","2","57","2","46","2","56","2","63","2","45","2"
"11","2","14","2","15","2","24","2","44","2","49","2","68","2","54","2","75","2","42","2"
"11","2","12","2","15","2","17","2","51","2","31","2","39","2","70","2","37","2","83","2"
"10","2","10","2","4","2","40","2","49","2","45","2","67","2","43","2","67","2","68","2"
"8","2","21","2","6","2","26","2","0","0","40","2","10","2","66","2","64","2","97","2"
"7","2","6","2","21","2","26","2","38","2","54","2","29","2","75","2","49","2","92","2"
"10","2","19","2","19","2","21","2","16","2","43","2","41","2","52","2","68","2","99","2"
"11","2","12","2","14","2","29","2","49","2","46","2","55","2","50","2","60","2","53","2"
"9","2","15","2","26","2","24","2","34","2","58","2","22","2","72","2","87","2","74","2"
"11","2","19","2","31","2","6","2","45","2","52","2","67","2","57","2","22","2","49","2"
"9","2","21","2","30","2","11","2","29","2","18","2","59","2","59","2","26","2","100","2"
"11","2","13","2","7","2","20","2","45","2","28","2","16","2","36","2","83","2","79","2"
"10","2","12","2","5","2","21","2","22","2","22","2","6","2","35","2","87","2","56","2"
"5","2","11","2","15","2","28","2","23","2","53","2","47","2","40","2","88","2","89","2"
"11","2","15","2","30","2","41","2","35","2","23","2","15","2","53","2","83","2","33","2"
"11","2","15","2","25","2","40","2","44","2","56","2","40","2","63","2","61","2","93","2"
"0","0","13","2","17","2","30","2","25","2","49","2","26","2","76","2","55","2","73","2"
"9","2","20","2","28","2","32","2","47","2","49","2","48","2","74","2","53","2","99","2"
"11","2","16","2","30","2","34","2","40","2","61","2","68","2","81","2","83","2","53","2"
"10","2","6","2","17","2","35","2","22","2","42","2","63","2","56","2","32","2","60","2"
"7","2","19","2","16","2","21","2","38","2","40","2","64","2","71","2","78","2","0","0"
"10","2","15","2","24","2","18","2","35","2","24","2","12","2","77","2","71","2","98","2"
"11","2","19","2","30","2","33","2","48","2","40","2","23","2","73","2","88","2","93","2"
"11","2","17","2","25","2","33","2","49","2","50","2","65","2","55","2","88","2","66","2"
"6","2","8","2","28","2","39","2","42","2","38","2","55","2","59","2","19","2","68","2"
"9","2","4","2","11","2","32","2","22","2","43","2","37","2","25","2","35","2","79","2"
"5","2","12","2","22","2","39","2","20","2","60","2","60","2","42","2","76","2","26","2"
"10","2","20","2","24","2","41","2","26","2","56","2","65","2","49","2","81","2","50","2"
"6","2","14","2","11","2","33","2","32","2","7","2","64","2","60","2","65","2","79","2"
"10","2","21","2","29","2","33","2","38","2","41","2","54","2","81","2","49","2","72","2"
