"Reads","Writes"
"10","22"
"12","22"
"12","22"
"11","22"
"9","22"
"8","22"
"11","22"
"12","22"
"10","22"
"12","22"
"10","22"
"12","22"
"11","22"
"6","22"
"12","22"
"12","22"
"1","20"
"10","22"
"12","22"
"11","22"
"8","22"
"11","22"
"12","22"
"12","22"
"7","22"
"10","22"
"6","22"
"11","22"
"7","22"
"11","22"
"22","42"
"15","42"
"13","42"
"11","42"
"22","42"
"7","42"
"20","42"
"13","42"
"16","42"
"20","42"
"22","42"
"14","42"
"13","42"
"12","42"
"16","42"
"16","42"
"14","42"
"21","42"
"17","42"
"7","42"
"20","42"
"16","42"
"20","42"
"18","42"
"9","42"
"5","42"
"13","42"
"21","42"
"15","42"
"22","42"
"29","62"
"16","62"
"16","62"
"5","62"
"7","62"
"22","62"
"20","62"
"15","62"
"27","62"
"32","62"
"31","62"
"8","62"
"6","62"
"16","62"
"31","62"
"26","62"
"18","62"
"29","62"
"31","62"
"18","62"
"17","62"
"25","62"
"31","62"
"26","62"
"29","62"
"12","62"
"23","62"
"25","62"
"12","62"
"30","62"
"42","82"
"25","82"
"18","82"
"41","82"
"27","82"
"27","82"
"22","82"
"30","82"
"25","82"
"7","82"
"12","82"
"21","82"
"22","82"
"29","82"
"42","82"
"41","82"
"31","82"
"33","82"
"35","82"
"36","82"
"22","82"
"19","82"
"34","82"
"34","82"
"40","82"
"33","82"
"40","82"
"42","82"
"34","82"
"34","82"
"39","102"
"45","102"
"52","102"
"50","102"
"1","100"
"39","102"
"17","102"
"50","102"
"35","102"
"46","102"
"30","102"
"46","102"
"23","102"
"24","102"
"36","102"
"45","102"
"26","102"
"48","102"
"41","102"
"23","102"
"39","102"
"36","102"
"49","102"
"50","102"
"43","102"
"23","102"
"21","102"
"27","102"
"33","102"
"39","102"
"58","122"
"50","122"
"32","122"
"46","122"
"41","122"
"55","122"
"44","122"
"47","122"
"59","122"
"53","122"
"19","122"
"29","122"
"23","122"
"54","122"
"24","122"
"57","122"
"50","122"
"50","122"
"62","122"
"43","122"
"41","122"
"25","122"
"41","122"
"51","122"
"39","122"
"44","122"
"61","122"
"57","122"
"8","122"
"42","122"
"47","142"
"69","142"
"40","142"
"68","142"
"11","142"
"30","142"
"42","142"
"56","142"
"23","142"
"68","142"
"60","142"
"17","142"
"7","142"
"48","142"
"16","142"
"41","142"
"27","142"
"49","142"
"69","142"
"64","142"
"65","142"
"13","142"
"24","142"
"66","142"
"56","142"
"38","142"
"61","142"
"66","142"
"65","142"
"55","142"
"57","162"
"55","162"
"71","162"
"44","162"
"67","162"
"76","162"
"53","162"
"51","162"
"73","162"
"58","162"
"60","162"
"37","162"
"36","162"
"41","162"
"54","162"
"64","162"
"77","162"
"75","162"
"82","162"
"57","162"
"72","162"
"78","162"
"74","162"
"56","162"
"60","162"
"26","162"
"43","162"
"50","162"
"61","162"
"82","162"
"64","182"
"76","182"
"38","182"
"68","182"
"65","182"
"50","182"
"69","182"
"61","182"
"88","182"
"23","182"
"27","182"
"84","182"
"88","182"
"89","182"
"84","182"
"62","182"
"56","182"
"54","182"
"84","182"
"33","182"
"79","182"
"72","182"
"89","182"
"89","182"
"20","182"
"36","182"
"77","182"
"82","182"
"66","182"
"50","182"
"46","202"
"43","202"
"84","202"
"69","202"
"98","202"
"93","202"
"100","202"
"54","202"
"75","202"
"50","202"
"101","202"
"80","202"
"57","202"
"90","202"
"34","202"
"94","202"
"74","202"
"100","202"
"54","202"
"61","202"
"1","200"
"99","202"
"94","202"
"67","202"
"69","202"
"80","202"
"27","202"
"51","202"
"80","202"
"73","202"
